,fsqid,name,latitude,longitude,category,popularity,price,rating,stats,free_bikes
161,4ef8287e2c5b0445016d2db0,Wind and Waves,23.242482,77.381173,"Bar,Indian Restaurant,",0.957887752461738,2.0,7.3,"{'total_photos': 10, 'total_ratings': 24, 'total_tips': 3}",4
162,4cbefd73020d4688a6af5f38,Boat Club,23.242482,77.381173,"Sports and Recreation,",0.9554392076979688,,,,4
163,9ca557d9041b49ffdeb48ec8,Indra Gandhi Rashtriya Manav Sangrahalay,23.242482,77.381173,"Historic and Protected Site,",,,,,4
164,58e26232d772f93b1353110d,"Goodricke Tea Pot, Lakeview",23.242482,77.381173,"Tea Room,",0.1473547253972288,2.0,,,4
165,64807b83eb77436f7ba7b138,Lehar Fast,23.242482,77.381173,"Restaurant,",,,,,4
166,67895b3f39824f5361418bc5,Lehar,23.242482,77.381173,"Restaurant,",,,,,4
167,52c9145f498e9d7e2e679427,Shyamla Hills,23.242482,77.381173,"Scenic Lookout,",0.9661110709992108,,,,4
168,162aa7a3eae143e16bad1393,Wind and Waves Restaurant,23.242482,77.381173,"Restaurant,",,,,,4
169,4f7d928ee4b0393e98be1840,Upper Lake,23.242482,77.381173,"Lake,",0.981168462602146,,,,4
170,5026793de4b0d0acd2800f5e,Bake N Shake,23.214601,77.435593,"Bakery,",0.9691286785920368,1.0,7.8,"{'total_photos': 16, 'total_ratings': 17, 'total_tips': 4}",4
171,4da00bc7bcc4a093f20108c9,10 Number Market,23.214601,77.435593,"Miscellaneous Store,",0.996537795729948,,7.3,"{'total_photos': 10, 'total_ratings': 27, 'total_tips': 7}",4
172,4fb26609e4b08d0716a34e71,Windz Cafe,23.214601,77.435593,"Café,",0.0481823427582227,1.0,7.1,"{'total_photos': 3, 'total_ratings': 11, 'total_tips': 2}",4
173,61d46a182b5bf02c2cc4a86a,Starbucks,23.214601,77.435593,"Coffee Shop,",0.9515291402192728,1.0,7.1,{'total_ratings': 0},4
174,4e424fe1aeb79367c7e5dd11,Fountain Head The Gift Shop,23.214601,77.435593,"Retail,",0.8214079630698211,,,,4
175,4db16c0ba86e63d2116a3e3f,Limelight,23.214601,77.435593,"Clothing Store,",0.7856318522792844,,,,4
176,4fc36252e4b0b469df7faffd,Studio Patidar,23.214601,77.435593,"Photography Lab,",0.2383150605885747,,,,4
